Mayank_Lunch1,Mayank_Lunch2,Mayank_Lunch3,Mayank_Morning1,Mayank_Morning2,Mayank_Morning3,Poojitha_Lunch1,Poojitha_Lunch2,Poojitha_Lunch3,Poojitha_Morning1,Poojitha_Morning2,Poojitha_Morning3,Prerana_Lunch1,Prerana_Lunch2,Prerana_Lunch3,Prerana_Morning1,Prerana_Morning2,Prerana_Morning3
0.413111277364622,0.0655138711397689,0.104709198019143,0.25299745832335,0.0758536854530641,0.212238441761887,0.0300822374781134,0.0012695739645876,0.00108707253530782,0.00337153524382175,0.214318624891147,0.00246968672041705,3.13984484358391e-05,2.94644482166909e-05,3.62502871796715e-05,2.06179388755653e-05,1.35012706829693e-05,2.61215664773379e-05
0.000223855925815956,0.000124042369480959,0.000265482655966165,0.000157116799258092,0.000287942324113971,0.000321336230211093,0.00397511464602429,0.00271005711671331,0.00282826116683765,0.00235478961560022,0.00174753191272284,0.00205426399909895,8.61296223664175e-05,8.98538446611213e-05,0.000103503972621274,3.20497337253768e-05,1.75865121151739e-05,5.8887064877696e-05
6.22113121877022e-05,2.24844747408005e-05,6.44870012012959e-05,2.53021127980312e-05,3.81572789727306e-05,3.13879644835527e-05,0.000213738696509999,0.00018764928491047,0.00023339673747489,6.79609720220928e-05,7.94086612165874e-05,5.18403735830092e-05,5.0505951458189e-06,5.84333051753204e-06,6.10384537351555e-06,5.81010868641108e-06,2.06060233352098e-06,7.0095924852966e-06
8.46244066776058e-06,2.16715792848195e-05,2.2584569267515e-05,1.67392768540026e-05,4.03273600218388e-05,6.31333895580398e-06,2.92838276327887e-05,1.95668395255426e-05,1.73106632349922e-05,3.28155191082534e-06,2.20111282597391e-06,1.21736732509338e-06,7.41815329901733e-07,6.20587844977313e-07,8.12907867616763e-07,2.52662840540119e-06,1.23986310506264e-06,2.17107170277455e-06
2.94201349701307e-06,1.12867074487e-05,1.29347069121545e-05,1.23981384827685e-05,2.1895562682347e-05,4.11022420898056e-06,2.65835447120645e-05,1.74738932301736e-05,1.37462988800788e-05,5.32034404418793e-06,3.62180527173309e-06,1.36297424241926e-06,1.39589281813481e-06,1.10362795841418e-06,9.43762329532401e-07,6.86195538167042e-07,9.81750411950304e-07,1.39100150220236e-06
2.68679217609614e-06,2.08344131520176e-06,5.2583126181647e-06,2.77422793273899e-06,3.38962267943959e-06,2.69494093267999e-06,2.87906625781954e-05,1.93704221745289e-05,9.56172155787443e-06,3.71929920645122e-06,2.23130164934991e-06,1.13855636135383e-06,9.96165669383803e-07,1.65157857425821e-06,2.2121004313549e-06,3.13906010432549e-07,5.52175826579157e-07,1.03669975208683e-06
9.61524776439199e-06,2.94231500372656e-06,9.07282489043587e-06,4.20676395970725e-06,4.57692194802958e-06,6.20122412587872e-06,5.69608952138385e-06,3.32429948879863e-06,4.02279233049269e-06,3.10403710803349e-06,2.096598887384e-06,3.51579210969422e-06,2.76006903832388e-06,4.25346290316979e-06,5.88106799557708e-06,1.03191688232664e-06,1.29720479779046e-06,2.56506038295947e-06
4.93667798326975e-06,1.66173562403664e-06,3.53169792359534e-06,1.20602835630963e-06,2.52631356465354e-06,1.32583761505564e-06,9.22035771443489e-06,7.7925887193983e-06,1.37190851541535e-05,2.84946978365211e-06,1.08904545269901e-06,1.34470202365664e-06,1.99692704520927e-06,2.16555970357706e-06,1.68982682994806e-06,1.65008432941149e-06,1.12198497325518e-06,2.53474932457176e-06
3.26466821533034e-06,1.70925630757264e-06,4.34012824364654e-06,3.36465219098535e-07,1.29734530776898e-06,5.1362827315733e-07,3.39789419686708e-06,2.96282130322108e-06,3.5525054299967e-06,1.05790489945518e-06,1.25710520932667e-06,8.55684405575939e-07,3.26513654585694e-07,6.4452502428713e-07,3.13966062934712e-07,5.80756729279412e-07,2.64829789569207e-07,4.68359683242931e-07
8.21493574523786e-06,2.25358732024328e-06,6.44032788759499e-06,7.53002241101016e-07,2.17843430049591e-06,8.3148817288631e-07,2.84680614266251e-06,1.55648662057033e-06,1.12568143218571e-06,5.80089187498466e-07,6.04696054835771e-07,5.3499341073374e-07,2.12014305864979e-07,3.4338753076307e-07,1.98141144828447e-07,7.90101409930952e-07,3.00133402826403e-07,6.20753760606823e-07
